iter	Passed	Remaining
924	1464	118
925	1466	117
926	1469	115
927	1470	114
928	1472	112
929	1474	111
930	1476	109
931	1478	107
932	1481	106
933	1483	104
934	1484	103
935	1486	101
936	1488	100
937	1490	98
938	1491	96
939	1493	95
940	1496	93
941	1498	92
942	1500	90
943	1502	89
944	1504	87
945	1505	85
946	1507	84
947	1509	82
948	1511	81
949	1513	79
950	1514	78
951	1516	76
952	1518	74
953	1519	73
954	1521	71
955	1523	70
956	1526	68
957	1528	67
958	1530	65
959	1531	63
960	1533	62
961	1534	60
962	1536	59
963	1538	57
964	1541	55
965	1543	54
966	1545	52
967	1546	51
968	1548	49
969	1550	47
970	1552	46
971	1554	44
972	1556	43
973	1558	41
974	1560	40
975	1562	38
976	1564	36
977	1566	35
978	1568	33
979	1570	32
980	1573	30
981	1574	28
982	1576	27
983	1578	25
984	1579	24
985	1581	22
986	1583	20
987	1586	19
988	1588	17
989	1590	16
990	1591	14
991	1593	12
992	1595	11
993	1597	9
994	1599	8
995	1601	6
996	1602	4
997	1604	3
998	1605	1
999	1607	0
